model,num_rules,ratio
anthropic/claude-3.5-haiku,10,0.0
anthropic/claude-3.5-haiku,20,3.0
anthropic/claude-3.5-haiku,30,2.4285714285714284
anthropic/claude-3.5-haiku,40,6.078651685393258
anthropic/claude-3.5-haiku,50,4.829596412556054
anthropic/claude-3.5-haiku,60,7.769964043816374
anthropic/claude-3.5-haiku,70,7.420856610800746
anthropic/claude-3.5-haiku,80,14.78440582433067
anthropic/claude-3.5-haiku,90,13.950410874995107
anthropic/claude-3.5-haiku,100,13.113169773547133
anthropic/claude-3.5-haiku,110,16.910919441982873
anthropic/claude-3.5-haiku,120,18.000719480155173
anthropic/claude-3.5-haiku,130,13.436348440226336
anthropic/claude-3.5-haiku,140,18.517935384851473
anthropic/claude-3.5-haiku,150,23.164930092068847
anthropic/claude-3.5-haiku,160,18.947179540156572
anthropic/claude-3.5-haiku,170,15.811211485588693
anthropic/claude-3.5-haiku,180,19.500041047533045
anthropic/claude-3.5-haiku,190,21.72583545481597
anthropic/claude-3.5-haiku,200,25.606074191910018
anthropic/claude-3.5-haiku,210,37.74336666839179
anthropic/claude-3.5-haiku,220,22.233295191885595
anthropic/claude-3.5-haiku,230,26.328515294931073
anthropic/claude-3.5-haiku,240,22.105806269443733
anthropic/claude-3.5-haiku,250,22.68952370038074
anthropic/claude-3.5-haiku,260,22.688955762089595
anthropic/claude-3.5-haiku,270,22.920876368094262
anthropic/claude-3.5-haiku,280,29.131860800061606
anthropic/claude-3.5-haiku,290,25.61657410224517
anthropic/claude-3.5-haiku,300,24.72011877028231
anthropic/claude-3.5-haiku,310,26.812944128545443
anthropic/claude-3.5-haiku,320,26.873562482885205
anthropic/claude-3.5-haiku,330,23.08513396682093
anthropic/claude-3.5-haiku,340,29.408870236866505
anthropic/claude-3.5-haiku,350,28.491855427864778
anthropic/claude-3.5-haiku,360,28.973127413593502
anthropic/claude-3.5-haiku,370,34.543054029206836
anthropic/claude-3.5-haiku,380,29.094488632573555
anthropic/claude-3.5-haiku,390,34.45882297025938
anthropic/claude-3.5-haiku,400,35.08420788630386
anthropic/claude-3.5-haiku,410,28.761861046339845
anthropic/claude-3.5-haiku,420,33.561994995830055
anthropic/claude-3.5-haiku,430,38.79605787944755
anthropic/claude-3.5-haiku,440,33.26024684295257
anthropic/claude-3.5-haiku,450,27.587745851728613
anthropic/claude-3.5-haiku,460,29.413569303346247
anthropic/claude-3.5-haiku,470,27.00234866008194
anthropic/claude-3.5-haiku,480,31.311147792878696
anthropic/claude-3.5-haiku,490,31.808802326954037
anthropic/claude-3.5-haiku,500,31.687769737224993
anthropic/claude-3.7-sonnet,10,
anthropic/claude-3.7-sonnet,20,0.0
anthropic/claude-3.7-sonnet,30,
anthropic/claude-3.7-sonnet,40,0.0
anthropic/claude-3.7-sonnet,50,0.0
anthropic/claude-3.7-sonnet,60,1.6666666666666667
anthropic/claude-3.7-sonnet,70,0.6666666666666666
anthropic/claude-3.7-sonnet,80,1.5454545454545454
anthropic/claude-3.7-sonnet,90,5.363636363636364
anthropic/claude-3.7-sonnet,100,4.15970515970516
anthropic/claude-3.7-sonnet,110,3.207876281244381
anthropic/claude-3.7-sonnet,120,3.0294969712931263
anthropic/claude-3.7-sonnet,130,4.703703703703705
anthropic/claude-3.7-sonnet,140,5.035372144436257
anthropic/claude-3.7-sonnet,150,2.5418322170507435
anthropic/claude-3.7-sonnet,160,3.854771784232365
anthropic/claude-3.7-sonnet,170,2.9627974737331058
anthropic/claude-3.7-sonnet,180,3.9218163846181335
anthropic/claude-3.7-sonnet,190,4.246903135707956
anthropic/claude-3.7-sonnet,200,5.742892943848384
anthropic/claude-3.7-sonnet,210,4.88004087728952
anthropic/claude-3.7-sonnet,220,4.4352466545702836
anthropic/claude-3.7-sonnet,230,4.484908537553211
anthropic/claude-3.7-sonnet,240,4.715433446018868
anthropic/claude-3.7-sonnet,250,4.94746802758735
anthropic/claude-3.7-sonnet,260,3.9251797142414433
anthropic/claude-3.7-sonnet,270,4.721559642693447
anthropic/claude-3.7-sonnet,280,5.486558594391124
anthropic/claude-3.7-sonnet,290,4.805086199762221
anthropic/claude-3.7-sonnet,300,4.673629477858264
anthropic/claude-3.7-sonnet,310,5.41632190876628
anthropic/claude-3.7-sonnet,320,5.554849701450136
anthropic/claude-3.7-sonnet,330,5.221608883106635
anthropic/claude-3.7-sonnet,340,5.379141364642169
anthropic/claude-3.7-sonnet,350,5.95880686143668
anthropic/claude-3.7-sonnet,360,5.815565706860512
anthropic/claude-3.7-sonnet,370,4.841448143414619
anthropic/claude-3.7-sonnet,380,4.908234736363212
anthropic/claude-3.7-sonnet,390,4.972969031043621
anthropic/claude-3.7-sonnet,400,5.045844790777418
anthropic/claude-3.7-sonnet,410,5.491611758873229
anthropic/claude-3.7-sonnet,420,5.709488424448556
anthropic/claude-3.7-sonnet,430,5.862264294027737
anthropic/claude-3.7-sonnet,440,5.203512651647517
anthropic/claude-3.7-sonnet,450,5.311461032787295
anthropic/claude-3.7-sonnet,460,5.956479273176659
anthropic/claude-3.7-sonnet,470,5.964946568702682
anthropic/claude-3.7-sonnet,480,5.354648741314815
anthropic/claude-3.7-sonnet,490,5.165200421534688
anthropic/claude-3.7-sonnet,500,6.048210358662682
anthropic/claude-opus-4,10,
anthropic/claude-opus-4,20,
anthropic/claude-opus-4,30,
anthropic/claude-opus-4,40,
anthropic/claude-opus-4,50,
anthropic/claude-opus-4,60,
anthropic/claude-opus-4,70,0.5
anthropic/claude-opus-4,80,1.3333333333333337
anthropic/claude-opus-4,90,0.9310344827586206
anthropic/claude-opus-4,100,1.6494565217391304
anthropic/claude-opus-4,110,3.276607047990083
anthropic/claude-opus-4,120,1.245989304812834
anthropic/claude-opus-4,130,2.7113402061855667
anthropic/claude-opus-4,140,5.545454545454546
anthropic/claude-opus-4,150,1.8745644599303137
anthropic/claude-opus-4,160,2.3399701020558235
anthropic/claude-opus-4,170,5.050185873605949
anthropic/claude-opus-4,180,5.164498384021895
anthropic/claude-opus-4,190,2.9582755617210785
anthropic/claude-opus-4,200,3.4536508901525806
anthropic/claude-opus-4,210,3.93310916541624
anthropic/claude-opus-4,220,4.062844883598801
anthropic/claude-opus-4,230,3.7762915385139877
anthropic/claude-opus-4,240,3.5894772500759777
anthropic/claude-opus-4,250,4.429421542294809
anthropic/claude-opus-4,260,3.8708640825295215
anthropic/claude-opus-4,270,4.862306270930316
anthropic/claude-opus-4,280,4.322051802693121
anthropic/claude-opus-4,290,6.222205771466797
anthropic/claude-opus-4,300,4.630964963544492
anthropic/claude-opus-4,310,3.82754297129406
anthropic/claude-opus-4,320,5.278412167552892
anthropic/claude-opus-4,330,4.342294083896777
anthropic/claude-opus-4,340,5.703940914766474
anthropic/claude-opus-4,350,4.520218936387919
anthropic/claude-opus-4,360,6.079824589076377
anthropic/claude-opus-4,370,6.2385237283772375
anthropic/claude-opus-4,380,4.8233675587021265
anthropic/claude-opus-4,390,4.3146565262201495
anthropic/claude-opus-4,400,5.373417589659669
anthropic/claude-opus-4,410,5.172977929721457
anthropic/claude-opus-4,420,5.133182963218739
anthropic/claude-opus-4,430,7.508992580994669
anthropic/claude-opus-4,440,6.43363631016097
anthropic/claude-opus-4,450,5.414495421760766
anthropic/claude-opus-4,460,5.352176825591532
anthropic/claude-opus-4,470,6.309519763979827
anthropic/claude-opus-4,480,4.974175618018139
anthropic/claude-opus-4,490,3.920144960304005
anthropic/claude-opus-4,500,5.793889243907552
anthropic/claude-opus-4-high-reasoning,10,
anthropic/claude-opus-4-high-reasoning,20,
anthropic/claude-opus-4-high-reasoning,30,
anthropic/claude-opus-4-high-reasoning,40,15.0
anthropic/claude-opus-4-high-reasoning,50,0.0
anthropic/claude-opus-4-high-reasoning,60,
anthropic/claude-opus-4-high-reasoning,70,0.0
anthropic/claude-opus-4-high-reasoning,80,2.2199471598414795
anthropic/claude-opus-4-high-reasoning,90,5.9767441860465125
anthropic/claude-opus-4-high-reasoning,100,2.099173553719008
anthropic/claude-opus-4-high-reasoning,110,1.8124999999999998
anthropic/claude-opus-4-high-reasoning,120,4.454545454545454
anthropic/claude-opus-4-high-reasoning,130,3.3165467625899283
anthropic/claude-opus-4-high-reasoning,140,8.210526315789473
anthropic/claude-opus-4-high-reasoning,150,2.1634913602126717
anthropic/claude-opus-4-high-reasoning,160,3.00593471810089
anthropic/claude-opus-4-high-reasoning,170,3.3301302892372897
anthropic/claude-opus-4-high-reasoning,180,3.00890868596882
anthropic/claude-opus-4-high-reasoning,190,3.0730550268076637
anthropic/claude-opus-4-high-reasoning,200,3.298662827560467
anthropic/claude-opus-4-high-reasoning,210,3.7224440539317922
anthropic/claude-opus-4-high-reasoning,220,3.643350696289997
anthropic/claude-opus-4-high-reasoning,230,3.912055040831856
anthropic/claude-opus-4-high-reasoning,240,3.1560481242221297
anthropic/claude-opus-4-high-reasoning,250,4.596457031878207
anthropic/claude-opus-4-high-reasoning,260,3.8399384817257163
anthropic/claude-opus-4-high-reasoning,270,5.882841947642898
anthropic/claude-opus-4-high-reasoning,280,3.8340307788465298
anthropic/claude-opus-4-high-reasoning,290,6.001795332136446
anthropic/claude-opus-4-high-reasoning,300,4.08887595430503
anthropic/claude-opus-4-high-reasoning,310,4.309160441396337
anthropic/claude-opus-4-high-reasoning,320,3.68671754001559
anthropic/claude-opus-4-high-reasoning,330,4.321241867181021
anthropic/claude-opus-4-high-reasoning,340,4.19350380509279
anthropic/claude-opus-4-high-reasoning,350,4.40972576527529
anthropic/claude-opus-4-high-reasoning,360,4.401657382541226
anthropic/claude-opus-4-high-reasoning,370,4.053761506355733
anthropic/claude-opus-4-high-reasoning,380,4.9169206033835415
anthropic/claude-opus-4-high-reasoning,390,3.698959286798311
anthropic/claude-opus-4-high-reasoning,400,4.593404673125823
anthropic/claude-opus-4-high-reasoning,410,4.866101353931756
anthropic/claude-opus-4-high-reasoning,420,3.9371530419666994
anthropic/claude-opus-4-high-reasoning,430,4.075245130734294
anthropic/claude-opus-4-high-reasoning,440,5.168703771755339
anthropic/claude-opus-4-high-reasoning,450,5.4990002898002945
anthropic/claude-opus-4-high-reasoning,460,3.4041056900281714
anthropic/claude-opus-4-high-reasoning,470,4.271115919670346
anthropic/claude-opus-4-high-reasoning,480,4.092539884937249
anthropic/claude-opus-4-high-reasoning,490,3.5833184740427106
anthropic/claude-opus-4-high-reasoning,500,4.092580415438213
anthropic/claude-sonnet-4,10,
anthropic/claude-sonnet-4,20,
anthropic/claude-sonnet-4,30,
anthropic/claude-sonnet-4,40,1.0
anthropic/claude-sonnet-4,50,0.6
anthropic/claude-sonnet-4,60,7.0
anthropic/claude-sonnet-4,70,0.5
anthropic/claude-sonnet-4,80,0.5483870967741935
anthropic/claude-sonnet-4,90,2.3123028391167195
anthropic/claude-sonnet-4,100,1.3954372623574145
anthropic/claude-sonnet-4,110,1.6938775510204083
anthropic/claude-sonnet-4,120,2.504492939666239
anthropic/claude-sonnet-4,130,2.4879383238000496
anthropic/claude-sonnet-4,140,5.76832530765115
anthropic/claude-sonnet-4,150,2.5667134252000996
anthropic/claude-sonnet-4,160,2.3038120908740853
anthropic/claude-sonnet-4,170,2.645833333333334
anthropic/claude-sonnet-4,180,3.7516168457503696
anthropic/claude-sonnet-4,190,3.8847087378640777
anthropic/claude-sonnet-4,200,3.0947780801077265
anthropic/claude-sonnet-4,210,3.458566445907324
anthropic/claude-sonnet-4,220,2.810424860474154
anthropic/claude-sonnet-4,230,3.4174291451168695
anthropic/claude-sonnet-4,240,4.121470781352593
anthropic/claude-sonnet-4,250,2.770526693306436
anthropic/claude-sonnet-4,260,3.789641575943266
anthropic/claude-sonnet-4,270,3.9540502773764707
anthropic/claude-sonnet-4,280,6.185997793512689
anthropic/claude-sonnet-4,290,3.679465725851129
anthropic/claude-sonnet-4,300,4.633966065682486
anthropic/claude-sonnet-4,310,3.692352661872428
anthropic/claude-sonnet-4,320,4.782404150686794
anthropic/claude-sonnet-4,330,5.3887095900410555
anthropic/claude-sonnet-4,340,4.7455556788790725
anthropic/claude-sonnet-4,350,4.699733090610438
anthropic/claude-sonnet-4,360,6.5262819624962
anthropic/claude-sonnet-4,370,5.752999118480758
anthropic/claude-sonnet-4,380,6.28272153496251
anthropic/claude-sonnet-4,390,6.1514779597751055
anthropic/claude-sonnet-4,400,5.856018782514524
anthropic/claude-sonnet-4,410,6.043152688108652
anthropic/claude-sonnet-4,420,6.3097327576343085
anthropic/claude-sonnet-4,430,6.133168625728864
anthropic/claude-sonnet-4,440,5.51563029866494
anthropic/claude-sonnet-4,450,6.890186751802741
anthropic/claude-sonnet-4,460,5.852556623409296
anthropic/claude-sonnet-4,470,6.653668926988895
anthropic/claude-sonnet-4,480,6.164042511788879
anthropic/claude-sonnet-4,490,5.452426570832674
anthropic/claude-sonnet-4,500,6.050295032595922
anthropic/claude-sonnet-4-high-reasoning,10,
anthropic/claude-sonnet-4-high-reasoning,20,0.0
anthropic/claude-sonnet-4-high-reasoning,30,
anthropic/claude-sonnet-4-high-reasoning,40,0.0
anthropic/claude-sonnet-4-high-reasoning,50,
anthropic/claude-sonnet-4-high-reasoning,60,1.6666666666666667
anthropic/claude-sonnet-4-high-reasoning,70,0.6551724137931034
anthropic/claude-sonnet-4-high-reasoning,80,0.42857142857142855
anthropic/claude-sonnet-4-high-reasoning,90,2.559322033898305
anthropic/claude-sonnet-4-high-reasoning,100,1.8571428571428572
anthropic/claude-sonnet-4-high-reasoning,110,3.105263157894737
anthropic/claude-sonnet-4-high-reasoning,120,1.4429364589759408
anthropic/claude-sonnet-4-high-reasoning,130,3.216867469879518
anthropic/claude-sonnet-4-high-reasoning,140,2.702707093682094
anthropic/claude-sonnet-4-high-reasoning,150,5.306323185011709
anthropic/claude-sonnet-4-high-reasoning,160,2.8917793964620184
anthropic/claude-sonnet-4-high-reasoning,170,4.0022445969345215
anthropic/claude-sonnet-4-high-reasoning,180,3.1549578482537135
anthropic/claude-sonnet-4-high-reasoning,190,3.2563454425286684
anthropic/claude-sonnet-4-high-reasoning,200,2.1294452347083928
anthropic/claude-sonnet-4-high-reasoning,210,1.9578136713691814
anthropic/claude-sonnet-4-high-reasoning,220,2.774204348639107
anthropic/claude-sonnet-4-high-reasoning,230,2.644657940550648
anthropic/claude-sonnet-4-high-reasoning,240,3.166789597550763
anthropic/claude-sonnet-4-high-reasoning,250,3.4760174249686533
anthropic/claude-sonnet-4-high-reasoning,260,3.329711575618335
anthropic/claude-sonnet-4-high-reasoning,270,3.0526390676382205
anthropic/claude-sonnet-4-high-reasoning,280,3.169136790729081
anthropic/claude-sonnet-4-high-reasoning,290,3.299568470672054
anthropic/claude-sonnet-4-high-reasoning,300,3.890663493325323
anthropic/claude-sonnet-4-high-reasoning,310,4.418051726771448
anthropic/claude-sonnet-4-high-reasoning,320,4.292361906502435
anthropic/claude-sonnet-4-high-reasoning,330,3.865944083053046
anthropic/claude-sonnet-4-high-reasoning,340,4.238325042159079
anthropic/claude-sonnet-4-high-reasoning,350,3.633617200401515
anthropic/claude-sonnet-4-high-reasoning,360,3.9618742225050836
anthropic/claude-sonnet-4-high-reasoning,370,4.061703090808258
anthropic/claude-sonnet-4-high-reasoning,380,4.009928416239671
anthropic/claude-sonnet-4-high-reasoning,390,3.50530062280935
anthropic/claude-sonnet-4-high-reasoning,400,5.2248973613684155
anthropic/claude-sonnet-4-high-reasoning,410,4.410623292253093
anthropic/claude-sonnet-4-high-reasoning,420,4.5103530783461245
anthropic/claude-sonnet-4-high-reasoning,430,4.58739525648312
anthropic/claude-sonnet-4-high-reasoning,440,5.043573116087914
anthropic/claude-sonnet-4-high-reasoning,450,4.875441541339201
anthropic/claude-sonnet-4-high-reasoning,460,3.9830738541901343
anthropic/claude-sonnet-4-high-reasoning,470,5.3709085184836
anthropic/claude-sonnet-4-high-reasoning,480,4.940198753970576
anthropic/claude-sonnet-4-high-reasoning,490,5.041874354717138
anthropic/claude-sonnet-4-high-reasoning,500,7.008319112224024
deepseek/deepseek-r1-0528,10,0.0
deepseek/deepseek-r1-0528,20,
deepseek/deepseek-r1-0528,30,0.5
deepseek/deepseek-r1-0528,40,3.0
deepseek/deepseek-r1-0528,50,0.6666666666666666
deepseek/deepseek-r1-0528,60,2.1188118811881185
deepseek/deepseek-r1-0528,70,1.8985507246376812
deepseek/deepseek-r1-0528,80,2.0249307479224377
deepseek/deepseek-r1-0528,90,2.414910525076525
deepseek/deepseek-r1-0528,100,1.519469585350453
deepseek/deepseek-r1-0528,110,2.4220779220779223
deepseek/deepseek-r1-0528,120,2.9291282778171506
deepseek/deepseek-r1-0528,130,3.754680160597428
deepseek/deepseek-r1-0528,140,8.1
deepseek/deepseek-r1-0528,150,4.689722387508464
deepseek/deepseek-r1-0528,160,4.999126332659877
deepseek/deepseek-r1-0528,170,4.640478729707312
deepseek/deepseek-r1-0528,180,4.653949687659485
deepseek/deepseek-r1-0528,190,6.72146364076954
deepseek/deepseek-r1-0528,200,5.950212782436983
deepseek/deepseek-r1-0528,210,5.887610785391783
deepseek/deepseek-r1-0528,220,5.953908213161996
deepseek/deepseek-r1-0528,230,7.639214942981583
deepseek/deepseek-r1-0528,240,5.219484101872789
deepseek/deepseek-r1-0528,250,5.598528537311014
deepseek/deepseek-r1-0528,260,7.4361935839881195
deepseek/deepseek-r1-0528,270,8.71772695830644
deepseek/deepseek-r1-0528,280,8.385874150259587
deepseek/deepseek-r1-0528,290,8.459264349021074
deepseek/deepseek-r1-0528,300,7.7653337793823445
deepseek/deepseek-r1-0528,310,6.985159250109286
deepseek/deepseek-r1-0528,320,6.312641100172412
deepseek/deepseek-r1-0528,330,8.8990057067747
deepseek/deepseek-r1-0528,340,8.847572627131528
deepseek/deepseek-r1-0528,350,9.828042206100607
deepseek/deepseek-r1-0528,360,7.79955435346745
deepseek/deepseek-r1-0528,370,9.657872920402356
deepseek/deepseek-r1-0528,380,7.732911420059283
deepseek/deepseek-r1-0528,390,8.78702398716443
deepseek/deepseek-r1-0528,400,7.628686352113254
deepseek/deepseek-r1-0528,410,7.633779162349216
deepseek/deepseek-r1-0528,420,9.114426667380522
deepseek/deepseek-r1-0528,430,11.028854934602363
deepseek/deepseek-r1-0528,440,10.236734536377154
deepseek/deepseek-r1-0528,450,8.849967943952198
deepseek/deepseek-r1-0528,460,10.789807833590649
deepseek/deepseek-r1-0528,470,8.770249108247222
deepseek/deepseek-r1-0528,480,10.282251933496466
deepseek/deepseek-r1-0528,490,7.301001166848305
deepseek/deepseek-r1-0528,500,9.124499296071741
google/gemini-2.5-flash-preview-05-20,10,
google/gemini-2.5-flash-preview-05-20,20,
google/gemini-2.5-flash-preview-05-20,30,3.0
google/gemini-2.5-flash-preview-05-20,40,2.0
google/gemini-2.5-flash-preview-05-20,50,5.0
google/gemini-2.5-flash-preview-05-20,60,1.9619181946403383
